Comment,Designator,Footprint,LCSC Part #
1M,R15,R0603,C328343
1uH 250mA 0805,L2,L2012C,C98325
4.7uF,C4,C0603,C152930
10R,R17,R0603,C103222
10k,R10 R14,R0603,C103199
10nF,C1 C7 C9,C0603,C57112
10uF 6.3V A TANT,C17,A/3216-18W,C127946
12.4k,R11,R0603,C269455
20pF,C3 C8,C0603,C105621
22nF,C10,C0603,C302044
49.9R,R1 R5 R9 R16,R0603,C103679 
100nF,C2 C12 C13 C14,C0603,C83060
470R,R6 R7,R0603,C25241 
ABM8-25.000MHZ-20-D1X-T,Y1,ABM825000MHZ10B1UT,C258949
EEEFC0J221AP-220uf-6.3v,C6,CAPAE830X650N,C401614
LM2596S-5.0,IC2,TO170P1435X465-6N,C347421
PMEG4050EP 115,D8,PMEG4050EP115,C96234
PTS636_SM25F_SMTR_LFS,J1,PTS636SM25FSMTRLFS,C410373
QWIICUPRIGHT,QWIIC1,BM04B-SRSS-TB,C145961
RVT1V681M1213-680uf-35v,C5,CAPAE1350X1400N,C249685
SMDRI127-330MT,L1,INDPM120120X800N,C9400 
W5500,IC4,QFP50P900X900X160-48N,C32843
10k,RN5 RN6,R1206,C29718
